Candidato,Video,img,O_prediction,C_prediction,E_prediction,A_prediction,N_prediction
Abinader,Abinader6,Abinader6_resultadoskeyframe_446.jpg,0.5484096,0.5141287,0.44314593,0.54432666,0.506077
Abinader,Abinader6,Abinader6_resultadoskeyframe_510.jpg,0.53491217,0.48264343,0.4331379,0.5259855,0.4808402
Abinader,Abinader6,Abinader6_resultadoskeyframe_584.jpg,0.529472,0.48594177,0.42880297,0.5199815,0.47777906
Abinader,Abinader6,Abinader6_resultadoskeyframe_642.jpg,0.5542721,0.508913,0.4495346,0.54277873,0.5074554
Abinader,Abinader6,Abinader6_resultadoskeyframe_709.jpg,0.55796933,0.5077258,0.45983142,0.5371165,0.50512075
Abinader,Abinader6,Abinader6_resultadoskeyframe_779.jpg,0.56137013,0.50861216,0.46300948,0.54098713,0.5080398
Abinader,Abinader6,Abinader6_resultadoskeyframe_839.jpg,0.5263711,0.47996724,0.42714673,0.5219035,0.4769216
Abinader,Abinader7,Abinader7_resultadoskeyframe_112.jpg,0.5596756,0.6077283,0.4483539,0.58182585,0.5563265
Abinader,Abinader7,Abinader7_resultadoskeyframe_21.jpg,0.55619144,0.6100033,0.44366854,0.5850321,0.5532725
Abinader,Abinader7,Abinader7_resultadoskeyframe_269.jpg,0.54776466,0.616337,0.43530217,0.58083564,0.54717946
Abinader,Abinader7,Abinader7_resultadoskeyframe_334.jpg,0.5530646,0.6413444,0.43341434,0.58503187,0.55303127
Abinader,Abinader7,Abinader7_resultadoskeyframe_396.jpg,0.5498998,0.60776407,0.4420185,0.58136237,0.5511403
Abinader,Abinader7,Abinader7_resultadoskeyframe_431.jpg,0.5360022,0.5926348,0.42831486,0.5615275,0.5343456
Abinader,Abinader7,Abinader7_resultadoskeyframe_512.jpg,0.5422946,0.6339171,0.4243572,0.57738423,0.54902005
Abinader,Abinader7,Abinader7_resultadoskeyframe_566.jpg,0.54924226,0.62875843,0.43229866,0.5817323,0.54905224
Abinader,Abinader7,Abinader7_resultadoskeyframe_598.jpg,0.5529575,0.6343607,0.43370003,0.5827552,0.5503224
Abinader,Abinader7,Abinader7_resultadoskeyframe_655.jpg,0.5449556,0.6478106,0.42503905,0.58287334,0.5521341
Abinader,Abinader7,Abinader7_resultadoskeyframe_689.jpg,0.5529163,0.62242556,0.43814862,0.5829016,0.55314445
Abinader,Abinader7,Abinader7_resultadoskeyframe_717.jpg,0.5684391,0.61087275,0.4564513,0.5878713,0.56144196
Arauz,Arauz1,Arauz1_resultadoskeyframe_161.jpg,0.5961659,0.5900228,0.49802387,0.5742161,0.561293
Arauz,Arauz1,Arauz1_resultadoskeyframe_19.jpg,0.5783683,0.61411977,0.48037815,0.5727773,0.5612545
Arauz,Arauz1,Arauz1_resultadoskeyframe_260.jpg,0.5765199,0.59433806,0.47650507,0.57060707,0.55454016
Arauz,Arauz1,Arauz1_resultadoskeyframe_317.jpg,0.57682705,0.58682245,0.47406077,0.5636692,0.5482681
Arauz,Arauz1,Arauz1_resultadoskeyframe_410.jpg,0.56816447,0.611928,0.46391714,0.5695825,0.552541
Arauz,Arauz1,Arauz1_resultadoskeyframe_474.jpg,0.545658,0.58669174,0.4438394,0.5580107,0.5326834
Arauz,Arauz1,Arauz1_resultadoskeyframe_555.jpg,0.5881177,0.5954387,0.49441886,0.5683633,0.5593543
Arauz,Arauz1,Arauz1_resultadoskeyframe_711.jpg,0.5830653,0.62145793,0.484362,0.57472694,0.5670196
Arauz,Arauz1,Arauz1_resultadoskeyframe_90.jpg,0.60505986,0.57072294,0.50996554,0.56922436,0.55442464
Arauz,Arauz2,Arauz2_resultadoskeyframe_123.jpg,0.600047,0.51201445,0.50463283,0.5499084,0.53151965
Arauz,Arauz2,Arauz2_resultadoskeyframe_177.jpg,0.6106905,0.5295663,0.51112664,0.55396676,0.54364365
Arauz,Arauz2,Arauz2_resultadoskeyframe_215.jpg,0.5737444,0.4863078,0.46681038,0.53639746,0.50382954
Arauz,Arauz2,Arauz2_resultadoskeyframe_277.jpg,0.59153813,0.5160463,0.48687354,0.54574585,0.5226613
Arauz,Arauz2,Arauz2_resultadoskeyframe_330.jpg,0.5872551,0.5017247,0.4844535,0.54053843,0.5173597
Arauz,Arauz2,Arauz2_resultadoskeyframe_37.jpg,0.58879924,0.51834846,0.48947287,0.54146564,0.5218654
Arauz,Arauz2,Arauz2_resultadoskeyframe_404.jpg,0.57649875,0.49528286,0.47044066,0.5376407,0.5062599
Arauz,Arauz2,Arauz2_resultadoskeyframe_453.jpg,0.6006801,0.5233837,0.49188757,0.5520054,0.5352551
Arauz,Arauz2,Arauz2_resultadoskeyframe_511.jpg,0.5716044,0.49697176,0.46721122,0.53277254,0.5048029
Arauz,Arauz2,Arauz2_resultadoskeyframe_544.jpg,0.5739583,0.48632008,0.46995223,0.53564596,0.5105624
Arauz,Arauz2,Arauz2_resultadoskeyframe_598.jpg,0.5652782,0.47716844,0.4594901,0.5266702,0.49702358
Arauz,Arauz2,Arauz2_resultadoskeyframe_639.jpg,0.5830491,0.50138384,0.4835924,0.5379143,0.51555884
Arauz,Arauz2,Arauz2_resultadoskeyframe_687.jpg,0.5643465,0.4778956,0.4576462,0.5268129,0.49477816
Arauz,Arauz2,Arauz2_resultadoskeyframe_726.jpg,0.5661406,0.47236398,0.46476224,0.5286083,0.49538368
Arauz,Arauz2,Arauz2_resultadoskeyframe_74.jpg,0.5842095,0.5065966,0.4818362,0.53515416,0.5122688
Arauz,Arauz3,Arauz3_resultadoskeyframe_148.jpg,0.57495093,0.5258917,0.47356898,0.56132054,0.5327285
Arauz,Arauz3,Arauz3_resultadoskeyframe_200.jpg,0.58738804,0.54504466,0.48733333,0.57033736,0.54627967
Arauz,Arauz3,Arauz3_resultadoskeyframe_21.jpg,0.58250254,0.53632116,0.48163134,0.56889534,0.54238796
Arauz,Arauz3,Arauz3_resultadoskeyframe_258.jpg,0.5720631,0.5353558,0.46955603,0.566061,0.53532076
Arauz,Arauz3,Arauz3_resultadoskeyframe_336.jpg,0.5803728,0.5258361,0.4780656,0.56353307,0.53606105
Arauz,Arauz3,Arauz3_resultadoskeyframe_363.jpg,0.5787282,0.56053305,0.47775963,0.5778705,0.5506232
Arauz,Arauz3,Arauz3_resultadoskeyframe_405.jpg,0.57648253,0.54393,0.47592506,0.5711331,0.5425911
Arauz,Arauz3,Arauz3_resultadoskeyframe_445.jpg,0.58811677,0.5325692,0.48832718,0.5689572,0.54388136
Arauz,Arauz3,Arauz3_resultadoskeyframe_510.jpg,0.5753628,0.536494,0.47532117,0.56694597,0.53914785
Arauz,Arauz3,Arauz3_resultadoskeyframe_563.jpg,0.5767782,0.5321758,0.47767437,0.56695455,0.5375471
Arauz,Arauz3,Arauz3_resultadoskeyframe_603.jpg,0.57881707,0.57452947,0.47769827,0.57734406,0.55313367
Arauz,Arauz3,Arauz3_resultadoskeyframe_659.jpg,0.5684068,0.53453517,0.4677369,0.56642985,0.53459275
Arauz,Arauz3,Arauz3_resultadoskeyframe_704.jpg,0.5761877,0.5317379,0.47763842,0.5629858,0.5368645
Arauz,Arauz3,Arauz3_resultadoskeyframe_71.jpg,0.58480155,0.5338204,0.48628706,0.567948,0.5410781
Arauz,Arauz3,Arauz3_resultadoskeyframe_759.jpg,0.57852304,0.5468944,0.4803213,0.5717122,0.5442318
Arauz,Arauz4,Arauz4_resultadoskeyframe_102.jpg,0.5338149,0.5381303,0.42856297,0.5457819,0.5102837
Arauz,Arauz4,Arauz4_resultadoskeyframe_162.jpg,0.54743075,0.53350186,0.44533667,0.5455216,0.5150664
Arauz,Arauz4,Arauz4_resultadoskeyframe_17.jpg,0.5156647,0.52061266,0.41004542,0.53306574,0.4941163
Arauz,Arauz4,Arauz4_resultadoskeyframe_262.jpg,0.55072,0.5394728,0.44749486,0.5506158,0.5193063
Arauz,Arauz4,Arauz4_resultadoskeyframe_303.jpg,0.56277156,0.53633785,0.46405488,0.5533306,0.52455556
Arauz,Arauz4,Arauz4_resultadoskeyframe_367.jpg,0.53730303,0.52248204,0.43598598,0.5404591,0.50736165
Arauz,Arauz4,Arauz4_resultadoskeyframe_422.jpg,0.53872204,0.55256647,0.43485638,0.55166525,0.5190438
Arauz,Arauz4,Arauz4_resultadoskeyframe_464.jpg,0.5443055,0.54917955,0.44511762,0.55048263,0.52053773
Arauz,Arauz4,Arauz4_resultadoskeyframe_553.jpg,0.53113484,0.5389743,0.42796424,0.5424829,0.5073559
Arauz,Arauz4,Arauz4_resultadoskeyframe_59.jpg,0.5494948,0.5517285,0.4465779,0.55448353,0.525083
Arauz,Arauz4,Arauz4_resultadoskeyframe_607.jpg,0.51178104,0.46858597,0.41192973,0.5134151,0.4731053
Arauz,Arauz4,Arauz4_resultadoskeyframe_634.jpg,0.54086924,0.5351547,0.43595505,0.5492611,0.5119387
Arauz,Arauz4,Arauz4_resultadoskeyframe_699.jpg,0.5381981,0.47992373,0.43474397,0.52550924,0.4917482
Arauz,Arauz5,Arauz5_resultadoskeyframe_154.jpg,0.58685935,0.56234586,0.4912637,0.56476057,0.54730004
Arauz,Arauz5,Arauz5_resultadoskeyframe_253.jpg,0.55522037,0.513758,0.4538483,0.5412332,0.50695133
Arauz,Arauz5,Arauz5_resultadoskeyframe_352.jpg,0.56932867,0.56946945,0.46954766,0.5683539,0.54241836
Arauz,Arauz5,Arauz5_resultadoskeyframe_397.jpg,0.57606775,0.56722647,0.47965342,0.56517565,0.5460962
Arauz,Arauz5,Arauz5_resultadoskeyframe_485.jpg,0.58811784,0.5667794,0.49481076,0.5694302,0.5532031
Arauz,Arauz5,Arauz5_resultadoskeyframe_52.jpg,0.5729587,0.5608267,0.47488984,0.56284213,0.5426929
Arauz,Arauz5,Arauz5_resultadoskeyframe_547.jpg,0.5704521,0.57987773,0.46975303,0.5713248,0.54573023
Arauz,Arauz5,Arauz5_resultadoskeyframe_594.jpg,0.5751477,0.5517412,0.4766711,0.55963516,0.5381216
Arauz,Arauz5,Arauz5_resultadoskeyframe_736.jpg,0.5788243,0.56696284,0.4829579,0.56685835,0.5476352
Arauz,Arauz5,Arauz5_resultadoskeyframe_96.jpg,0.58246577,0.57209224,0.4860567,0.5664766,0.5492069
Arauz,Arauz6,Arauz6_resultadoskeyframe_186.jpg,0.56861806,0.49402696,0.45910102,0.53776,0.50485957
Arauz,Arauz6,Arauz6_resultadoskeyframe_23.jpg,0.5681533,0.49219334,0.4578414,0.53399324,0.50163436
Arauz,Arauz6,Arauz6_resultadoskeyframe_239.jpg,0.5583317,0.5030196,0.45117658,0.53661454,0.5015843
Arauz,Arauz6,Arauz6_resultadoskeyframe_316.jpg,0.5561942,0.49867275,0.44681242,0.5318012,0.49954194
Arauz,Arauz6,Arauz6_resultadoskeyframe_372.jpg,0.5591082,0.4996352,0.44717097,0.5336826,0.5011318
Arauz,Arauz6,Arauz6_resultadoskeyframe_456.jpg,0.56143486,0.5048672,0.4516127,0.53806186,0.5043231
Arauz,Arauz6,Arauz6_resultadoskeyframe_499.jpg,0.578361,0.5137547,0.46454164,0.54473126,0.5181868
Arauz,Arauz6,Arauz6_resultadoskeyframe_558.jpg,0.56653404,0.49729565,0.45568,0.5364224,0.50550795
Arauz,Arauz6,Arauz6_resultadoskeyframe_593.jpg,0.53768754,0.48792964,0.43016684,0.52250713,0.48552546
Arauz,Arauz6,Arauz6_resultadoskeyframe_660.jpg,0.5735528,0.51012194,0.4622953,0.5437884,0.5143351
Arauz,Arauz6,Arauz6_resultadoskeyframe_701.jpg,0.5390865,0.48930508,0.43381107,0.5259712,0.48565233
Arauz,Arauz6,Arauz6_resultadoskeyframe_73.jpg,0.5720669,0.49934894,0.46062592,0.53834575,0.50721323
Arauz,Arauz7,Arauz7_resultadoskeyframe_104.jpg,0.52902186,0.5010127,0.4387437,0.5379578,0.48900807
Arauz,Arauz7,Arauz7_resultadoskeyframe_132.jpg,0.5215325,0.49892184,0.42776,0.5404124,0.48488304
Arauz,Arauz7,Arauz7_resultadoskeyframe_20.jpg,0.5319654,0.49846485,0.44193518,0.5360427,0.49107033
Arauz,Arauz7,Arauz7_resultadoskeyframe_245.jpg,0.49936184,0.47965997,0.41282672,0.5196116,0.46778184
Arauz,Arauz7,Arauz7_resultadoskeyframe_299.jpg,0.5369227,0.5197304,0.44360292,0.5514921,0.5054482
Arauz,Arauz7,Arauz7_resultadoskeyframe_342.jpg,0.5136901,0.48176834,0.42439273,0.54479176,0.47379386
Arauz,Arauz7,Arauz7_resultadoskeyframe_447.jpg,0.52270514,0.48984635,0.4332483,0.5350889,0.48331648
Arauz,Arauz7,Arauz7_resultadoskeyframe_480.jpg,0.5193728,0.48994225,0.42819136,0.533288,0.47796482
Arauz,Arauz7,Arauz7_resultadoskeyframe_543.jpg,0.52582157,0.5043947,0.4364916,0.5418141,0.49236003
Arauz,Arauz7,Arauz7_resultadoskeyframe_611.jpg,0.52484334,0.50755847,0.43453068,0.54028213,0.49023807
Arauz,Arauz7,Arauz7_resultadoskeyframe_661.jpg,0.5069249,0.4703651,0.41680384,0.52906984,0.4699663
Arauz,Arauz7,Arauz7_resultadoskeyframe_68.jpg,0.52535677,0.49245584,0.4374985,0.52394515,0.48266676
Arauz,Arauz7,Arauz7_resultadoskeyframe_727.jpg,0.5243526,0.49991435,0.4335736,0.53876173,0.48800522
Castro,Castro1,Castro1_keyframe_14.jpg,0.54381204,0.5226073,0.44836074,0.5322591,0.5005521
Castro,Castro1,Castro1_keyframe_143.jpg,0.5576774,0.5226753,0.46626353,0.54777884,0.5145843
Castro,Castro1,Castro1_keyframe_212.jpg,0.557333,0.5421444,0.4611451,0.54124874,0.51645523
Castro,Castro1,Castro1_keyframe_293.jpg,0.5633817,0.5602399,0.4657892,0.55359393,0.5304582
Castro,Castro1,Castro1_keyframe_354.jpg,0.55182123,0.52241355,0.45919138,0.5455582,0.5111726
Castro,Castro1,Castro1_keyframe_407.jpg,0.5344989,0.5046169,0.44127828,0.5303076,0.49166578
Castro,Castro1,Castro1_keyframe_42.jpg,0.54576206,0.528361,0.45000944,0.5314287,0.50378066
Castro,Castro1,Castro1_keyframe_509.jpg,0.55480903,0.50395405,0.4640929,0.547591,0.50594246
Castro,Castro1,Castro1_keyframe_577.jpg,0.57832575,0.564502,0.48249733,0.5545762,0.53643626
Castro,Castro1,Castro1_keyframe_598.jpg,0.5588105,0.54858565,0.4600836,0.547017,0.5228394
Castro,Castro1,Castro1_keyframe_646.jpg,0.5391635,0.5071242,0.44312876,0.53098816,0.49555874
Castro,Castro1,Castro1_keyframe_672.jpg,0.5404952,0.50230664,0.4477617,0.5361007,0.4971645
Castro,Castro1,Castro1_keyframe_737.jpg,0.58135283,0.5568559,0.48641622,0.55360746,0.53498375
Castro,Castro1,Castro1_keyframe_77.jpg,0.56469166,0.5418863,0.4743087,0.55417323,0.52368647
Castro,Castro1,Castro1_keyframe_784.jpg,0.5387364,0.50871813,0.44254714,0.540059,0.49606794
Castro,Castro1,Castro1_keyframe_846.jpg,0.58272207,0.5659474,0.4883272,0.5563383,0.5423574
Castro,Castro2,Castro2_keyframe_130.jpg,0.5646811,0.57145613,0.4750322,0.55513436,0.5336561
Castro,Castro2,Castro2_keyframe_144.jpg,0.56357765,0.5723471,0.47201166,0.55873126,0.5356607
Castro,Castro2,Castro2_keyframe_195.jpg,0.55680364,0.5757115,0.4633065,0.55363315,0.53363895
Castro,Castro2,Castro2_keyframe_268.jpg,0.554869,0.5590795,0.4633745,0.5513154,0.52753526
Castro,Castro2,Castro2_keyframe_297.jpg,0.56319475,0.56848574,0.4718665,0.55586535,0.5337542
Castro,Castro2,Castro2_keyframe_326.jpg,0.55226374,0.5468389,0.46048194,0.5452392,0.5201164
Castro,Castro2,Castro2_keyframe_362.jpg,0.57244617,0.5809865,0.48118603,0.56283534,0.54208136
Castro,Castro2,Castro2_keyframe_428.jpg,0.5748224,0.6060349,0.47731993,0.57174134,0.5510872
Castro,Castro2,Castro2_keyframe_487.jpg,0.55239034,0.53783906,0.46188378,0.53743064,0.5133637
Castro,Castro2,Castro2_keyframe_525.jpg,0.57806027,0.58972555,0.48576003,0.5675325,0.54704726
Castro,Castro2,Castro2_keyframe_559.jpg,0.5673625,0.5769576,0.47616994,0.5599909,0.53930676
Castro,Castro2,Castro2_keyframe_601.jpg,0.567851,0.5741346,0.47664288,0.5563929,0.53472567
Castro,Castro2,Castro2_keyframe_63.jpg,0.55617136,0.5737127,0.46164173,0.5544002,0.53094447
Castro,Castro2,Castro2_keyframe_637.jpg,0.5532547,0.5605619,0.45976305,0.5502837,0.52619696
Castro,Castro2,Castro2_keyframe_706.jpg,0.5552267,0.56722075,0.46283284,0.5542609,0.5291654
Castro,Castro2,Castro2_keyframe_775.jpg,0.5566915,0.56493956,0.46364307,0.5529034,0.52803946
